SEMS EPA ID,Facility Information,SITE NAME,ADDRESS,COUNTY,FEDERAL FACILITY,NPL STATUS,NON-NPL STATUS,LATITUDE,LONGITUDE,lat,lon
NJ9690510020,View Facility Information,"177 FIGHTER WING, NJ AIR NATIONAL GUARD","400 LANGLEY ROADEGG HARBOR TOWNSHIP, NJ  08234-9507",ATLANTIC,Y,Currently on the Final NPL,,39.458331,-74.583339,39.458331,-74.583339
NJD030253355,View Facility Information,A. O. POLYMER,"44 STATION ROADSPARTA, NJ  07871-3627",SUSSEX,N,Currently on the Final NPL,,41.04805,-74.63,41.04805,-74.63
NJD981558430,View Facility Information,ATLANTIC RESOURCES,"120 HORSESHOE ROADSAYREVILLE, NJ  08872",MIDDLESEX,N,Currently on the Final NPL,,40.486111,-74.319444,40.486111,-74.319444
NJD002173276,View Facility Information,AWYETH HOLDINGS LLC,"EAST MAIN STREETBRIDGEWATER, NJ  08807",SOMERSET,N,Currently on the Final NPL,,40.555561,-74.55945,40.555561,-74.55945
NJD063157150,View Facility Information,BOG CREEK FARM,"579 ROUTE 547HOWELL, NJ  077310000",MONMOUTH,N,Currently on the Final NPL,,40.150831,-74.161111,40.150831,-74.161111
NJD980505176,View Facility Information,BRICK TOWNSHIP LANDFILL,"SALLY IKE ROADBRICK TOWNSHIP, NJ  08723",OCEAN,N,Currently on the Final NPL,,40.1098,-74.1311,40.1098,-74.1311
NJD053292652,View Facility Information,BRIDGEPORT RENTAL & OIL SERVICES,"CEDAR SWAMP & RT 130LOGAN, NJ  08085",GLOUCESTER,N,Currently on the Final NPL,,39.801669,-75.321661,39.801669,-75.321661
NJD980504997,View Facility Information,BURNT FLY BOG,"TYLERS LANEMARLBORO, NJ  07746",MONMOUTH,N,Currently on the Final NPL,,40.375,-74.279169,40.375,-74.279169
NJD048798953,View Facility Information,CALDWELL TRUCKING CO.,"222 PASSAIC AVEFAIRFIELD, NJ  07004",ESSEX,N,Currently on the Final NPL,,40.876389,-74.271389,40.876389,-74.271389
NJD000607481,View Facility Information,CHEMICAL CONTROL,"23 SOUTH FRONT STELIZABETH, NJ  07202",UNION,N,Currently on the Final NPL,,40.6432,-74.1935,40.6432,-74.1935
NJD980484653,View Facility Information,CHEMICAL INSECTICIDE CORP.,"30 WHITMAN AVENUEEDISON, NJ  08817",MIDDLESEX,N,Currently on the Final NPL,,40.5274,-74.368,40.5274,-74.368
NJD047321443,View Facility Information,"CHEMICAL LEAMAN TANK LINES, INC.","OAKGROVE AND CEDAR SWAMP ROADBRIDGEPORT, NJ  08014",GLOUCESTER,N,Currently on the Final NPL,,39.798331,-75.332781,39.798331,-75.332781
NJD980528889,View Facility Information,"CHEMSOL, INC.","100 FLEMING STREETPISCATAWAY, NJ  08854-3351",MIDDLESEX,N,Currently on the Final NPL,,40.5625,-74.443339,40.5625,-74.443339
NJD002141190,View Facility Information,CIBA SPECIALTY CHEMICALS WATER TREATMENTS INC,"570 OLD WATERWORKS ROADOLD BRIDGE, NJ  08857",MIDDLESEX,N,Currently on the Final NPL,,40.434439,-74.327769,40.434439,-74.327769
NJD001502517,View Facility Information,CIBA-GEIGY CORP.,"ROUTE 37 WESTTOMS RIVER, NJ  08754",OCEAN,N,Currently on the Final NPL,,39.9867,-74.2363,39.9867,-74.2363
NJD980785638,View Facility Information,CINNAMINSON TOWNSHIP (BLOCK 702) GROUND WATER CONTAMINATION,"1017 UNION LANDING ROADCINNAMINSON, NJ  08077",BURLINGTON,N,Currently on the Final NPL,,40.0175,-74.9862,40.0175,-74.9862
NJD981557879,View Facility Information,CORNELL DUBILIER ELECTRONICS INC.,"333 HAMILTON BLVDSOUTH PLAINFIELD, NJ  07080",MIDDLESEX,N,Currently on the Final NPL,,40.576389,-74.414167,40.576389,-74.414167
NJD000565531,View Facility Information,COSDEN CHEMICAL COATINGS CORP.,"CHERRY ST & LEE AVEBEVERLY, NJ  08010",BURLINGTON,N,Currently on the Final NPL,,40.058183,-74.925899,40.058183,-74.925899
NJD011717584,View Facility Information,"CURCIO SCRAP METAL, INC.","416 LANZA AVESADDLE BROOK, NJ  07663-6405",BERGEN,N,Currently on the Final NPL,,40.8907,-74.1035,40.8907,-74.1035
NJD057143984,View Facility Information,CURTIS SPECIALTY PAPERS MILFORD MILL,"404 FRENCHTOWN RDMILFORD, NJ  08848",HUNTERDON,N,Currently on the Final NPL,,40.561758,-75.089842,40.561758,-75.089842
NJD980529416,View Facility Information,D'IMPERIO PROPERTY,"RTE 322MAYS LANDING, NJ  08330",ATLANTIC,N,Currently on the Final NPL,,39.454439,-74.658889,39.454439,-74.658889
NJD002168748,View Facility Information,DAYCO CORP./L.E CARPENTER CO.,"170 NORTH MAIN STREETWHARTON, NJ  07885-1609",MORRIS,N,Currently on the Final NPL,,40.903331,-74.5775,40.903331,-74.5775
NJD980761373,View Facility Information,DE REWAL CHEMICAL CO.,"DELAWARE RIVER DRFRENCHTOWN, NJ  08825",HUNTERDON,N,Currently on the Final NPL,,40.5162,-75.0614,40.5162,-75.0614
NJD980528996,View Facility Information,DIAMOND ALKALI CO.,"80 LISTER AVENEWARK, NJ  07105",ESSEX,N,Currently on the Final NPL,,40.739719,-74.136111,40.739719,-74.136111
NJD092226000,View Facility Information,DIAMOND HEAD OIL REFINERY DIV.,"1401 HARRISON TURNPIKEKEARNY, NJ  07032",HUDSON,N,Currently on the Final NPL,,40.747222,-74.132194,40.747222,-74.132194
NJD980654131,View Facility Information,DOVER MUNICIPAL WELL 4,"272 ROUTE46DOVER, NJ  07801",MORRIS,N,Currently on the Final NPL,,40.8858,-74.5423,40.8858,-74.5423
NJD980529085,View Facility Information,ELLIS PROPERTY,"150 SHARP RDEVESHAM TWP, NJ  08053-5547",BURLINGTON,N,Currently on the Final NPL,,39.905,-74.864719,39.905,-74.864719
NJD980772727,View Facility Information,EMMELL'S SEPTIC LANDFILL,"128 ZURICH AVEGALLOWAY TWP, NJ  08215",ATLANTIC,N,Currently on the Final NPL,,39.500694,-74.543611,39.500694,-74.543611
NJD980654222,View Facility Information,EVOR PHILLIPS LEASING,"OLD WATER WORKS ROADOLD BRIDGE TOWNSHIP, NJ  08857",MIDDLESEX,N,Currently on the Final NPL,,40.4375,-74.325,40.4375,-74.325
NJD980761365,View Facility Information,EWAN PROPERTY,"WALLINGFORD WAYSHAMONG TOWNSHIP, NJ  08088",BURLINGTON,N,Currently on the Final NPL,,39.802781,-74.719439,39.802781,-74.719439
NJD980654107,View Facility Information,FISHER SCIENTIFIC CO LLC,"1 REAGENT LNFAIR LAWN, NJ  07410",BERGEN,N,Currently on the Final NPL,,40.9375,-74.131939,40.9375,-74.131939
NJN000200874,View Facility Information,FORMER KIL-TONE COMPANY,"527 EAST CHESTNUT AVENUEVINELAND, NJ  08360",CUMBERLAND,N,Currently on the Final NPL,,39.47841,-75.025489,39.47841,-75.025489
NJD986570992,View Facility Information,FRANKLIN BURN,"MARSHALL MILL RD BURN 1MALAGA, NJ  08328",GLOUCESTER,N,Currently on the Final NPL,,39.594444,-75.025,39.594444,-75.025
NJD041828906,View Facility Information,FRIED INDUSTRIES,"11 FRESH PONDS RDEAST BRUNSWICK, NJ  08816-2500",MIDDLESEX,N,Currently on the Final NPL,,40.4424,-74.4412,40.4424,-74.4412
NJD053280160,View Facility Information,GARDEN STATE CLEANERS CO.,"SUMMER ROAD, P.O. BOX 183MINOTOLA, NJ  08341",ATLANTIC,N,Currently on the Final NPL,,39.519031,-74.94945,39.519031,-74.94945
NJN000206317,View Facility Information,GARFIELD GROUND WATER CONTAMINATION,"WILLARD STREET AND PIERRE AVENUEGARFIELD, NJ  07026",BERGEN,N,Currently on the Final NPL,,40.871858,-74.106431,40.871858,-74.106431
NJD063160667,View Facility Information,GLOBAL SANITARY LANDFILL,"ERNSTON ROADOLD BRIDGE TOWNSHIP, NJ  08857",MIDDLESEX,N,Currently on the Final NPL,,40.446389,-74.286111,40.446389,-74.286111
NJD980529192,View Facility Information,GLOUCESTER ENVIRONMENTAL MGMT GEMS SLF,"ERIAL & TURNERSVILLE HICKSTOWNGLOUCESTER TOWNSHIP, NJ  08012",CAMDEN,N,Currently on the Final NPL,,39.77945,-75.018889,39.77945,-75.018889
NJD980530109,View Facility Information,GOOSE FARM,"RT. 539 BETWEEN RTS 537 & 528NEW EGYPT, NJ  08533",OCEAN,N,Currently on the Final NPL,,40.09555,-74.4975,40.09555,-74.4975
NJD980505366,View Facility Information,HELEN KRAMER LANDFILL,"JESSUP MILL ROADMANTUA TOWNSHIP, NJ  08051",GLOUCESTER,N,Currently on the Final NPL,,39.7801,-75.2003,39.7801,-75.2003
NJD002349058,View Facility Information,"HERCULES, INC. (GIBBSTOWN PLANT)","50 N MARKET STGIBBSTOWN, NJ  08027",GLOUCESTER,N,Currently on the Final NPL,,39.838889,-75.277781,39.838889,-75.277781
NJD053102232,View Facility Information,HIGGINS DISPOSAL,"121 LAUREL AVENUEKINGSTON, NJ  08528-9624",SOMERSET,N,Currently on the Final NPL,,40.3875,-74.615281,40.3875,-74.615281
NJD981490261,View Facility Information,HIGGINS FARM,"RT 518FRANKLIN TWP, NJ  08873",SOMERSET,N,Currently on the Final NPL,,40.406389,-74.602781,40.406389,-74.602781
NJ0001360882,View Facility Information,ICELAND COIN LAUNDRY AREA GW PLUME,"1888 SOUTH DELSEA DRIVEVINELAND, NJ  08360-6388",CUMBERLAND,N,Currently on the Final NPL,,39.45725,-75.04725,39.45725,-75.04725
NJD980654099,View Facility Information,"IMPERIAL OIL CO., INC./CHAMPION CHEMICALS","ORCHARD RDMORGANVILLE, NJ  07751",MONMOUTH,N,Currently on the Final NPL,,40.383889,-74.245831,40.383889,-74.245831
NJD078251675,View Facility Information,JAME FINE CHEMICALS INCORPORATED,"100 W MAIN STBOUND BROOK, NJ  08805",SOMERSET,N,Currently on the Final NPL,,40.560139,-74.536111,40.560139,-74.536111
NJD097400998,View Facility Information,JIS LANDFILL,"901-999 CRANBURY SOUTH RIVER ROADSOUTH BRUNSWICK, NJ  08810",MIDDLESEX,N,Currently on the Final NPL,,40.365831,-74.465281,40.365831,-74.465281
NJ0570024018,View Facility Information,JOINT BASE MCGUIRE DIX LAKEHURST - MCGUIRE AIR FORCE BASE,"2403 VANDENBERG AVETRENTON, NJ  08641",BURLINGTON,Y,Currently on the Final NPL,,40.018056,-74.593611,40.018056,-74.593611
NJD002493054,View Facility Information,"KAUFFMAN & MINTEER, INC.","MOUTHMOUTH RDJOBSTOWN, NJ  08041",BURLINGTON,N,Currently on the Final NPL,,40.0363,-74.694,40.0363,-74.694
NJD049860836,View Facility Information,KIN BUC INC SLF,"383 MEADOW RDEDISON, NJ  08837-4101",MIDDLESEX,N,Currently on the Final NPL,,40.4891,-74.3785,40.4891,-74.3785
NJD980505341,View Facility Information,KING OF PRUSSIA,"PINEY HOLLOW ROADWINSLOW TOWNSHIP, NJ  08095",CAMDEN,N,Currently on the Final NPL,,39.62695,-74.889439,39.62695,-74.889439
NJ7170023744,View Facility Information,LAKEHURST NAVAL AIR ENGINEERING STATION,"1 PINEHURST RDLAKEHURST, NJ  08733",OCEAN,Y,Currently on the Final NPL,,40.029719,-74.369161,40.029719,-74.369161
NJD048044325,View Facility Information,LANDFILL & DEVELOPMENT CO MOUNT HOLLY RECYCLING & DISPOSAL,"2023 ROUTE 38MOUNT HOLLY, NJ  08060",BURLINGTON,N,Currently on the Final NPL,,39.980561,-74.770839,39.980561,-74.770839
NJD980505382,View Facility Information,LANG PROPERTY,"WHITESBOG-PASADENA ROADPEMBERTON TOWNSHIP, NJ  08015",BURLINGTON,N,Currently on the Final NPL,,39.929161,-74.49445,39.929161,-74.49445
NJD079303020,View Facility Information,LCP CHEMICALS INC.,"S WOOD AVELINDEN, NJ  07036",UNION,N,Currently on the Final NPL,,40.6075,-74.210278,40.6075,-74.210278
NJD014743678,View Facility Information,LIGHTMAN DRUM COMPANY,"ROUTE 73WINSLOW TOWNSHIP, NJ  08009",CAMDEN,N,Currently on the Final NPL,,39.729722,-74.905917,39.729722,-74.905917
