county,race,rate,ci_lower,ci_upper,moe,rse,risk_factor,gender
,,,,,,,,
Atlantic,Asian/Pacific Islander,**,**,**,0.268,0.335,Mammography,Male and Female
Atlantic,Black/African American,0.621,0.495,0.732,0.121,0.162,Mammography,Male and Female
Atlantic,White,0.584,0.533,0.634,0.051,0.062,Mammography,Male and Female
Atlantic,Other,**,**,**,0.208,0.215,Mammography,Male and Female
Atlantic,Hispanic/Latino,0.514,0.398,0.629,0.118,0.124,Mammography,Male and Female
,,,,,,,Mammography,
Bergen,Asian/Pacific Islander,**,**,**,0.175,0.181,Mammography,Male and Female
Bergen,Black/African American,0.489,0.348,0.632,0.145,0.152,Mammography,Male and Female
Bergen,White,0.603,0.549,0.655,0.053,0.068,Mammography,Male and Female
Bergen,Other,**,**,**,0.264,0.303,Mammography,Male and Female
Bergen,Hispanic/Latino,0.569,0.464,0.668,0.103,0.122,Mammography,Male and Female
,,,,,,,Mammography,
Burlington,Asian/Pacific Islander,**,**,**,0.289,0.299,Mammography,Male and Female
Burlington,Black/African American,0.555,0.447,0.658,0.107,0.123,Mammography,Male and Female
Burlington,White,0.578,0.53,0.624,0.047,0.057,Mammography,Male and Female
Burlington,Other,**,**,**,0.251,0.286,Mammography,Male and Female
Burlington,Hispanic/Latino,0.611,0.443,0.756,0.161,0.212,Mammography,Male and Female
,,,,,,,Mammography,
Camden,Asian/Pacific Islander,**,**,**,0.296,0.4,Mammography,Male and Female
Camden,Black/African American,0.541,0.446,0.633,0.095,0.105,Mammography,Male and Female
Camden,White,0.565,0.518,0.611,0.047,0.055,Mammography,Male and Female
Camden,Other,**,**,**,0.262,0.273,Mammography,Male and Female
Camden,Hispanic/Latino,0.461,0.341,0.585,0.125,0.138,Mammography,Male and Female
,,,,,,,Mammography,
Cape May,Asian/Pacific Islander,**,**,**,0,.,Mammography,Male and Female
Cape May,Black/African American,**,**,**,0.247,0.262,Mammography,Male and Female
Cape May,White,0.62,0.565,0.672,0.054,0.072,Mammography,Male and Female
Cape May,Other,**,**,**,0.375,0.444,Mammography,Male and Female
Cape May,Hispanic/Latino,**,**,**,0.211,0.25,Mammography,Male and Female
,,,,,,,Mammography,
Cumberland,Asian/Pacific Islander,**,**,**,0.389,0.47,Mammography,Male and Female
Cumberland,Black/African American,0.669,0.551,0.769,0.11,0.17,Mammography,Male and Female
Cumberland,White,0.541,0.483,0.598,0.058,0.064,Mammography,Male and Female
Cumberland,Other,**,**,**,0.179,0.265,Mammography,Male and Female
Cumberland,Hispanic/Latino,0.426,0.334,0.524,0.096,0.115,Mammography,Male and Female
,,,,,,,Mammography,
Essex,Asian/Pacific Islander,**,**,**,0.223,0.27,Mammography,Male and Female
Essex,Black/African American,0.538,0.488,0.587,0.05,0.055,Mammography,Male and Female
Essex,White,0.6,0.544,0.654,0.055,0.07,Mammography,Male and Female
Essex,Other,0.586,0.405,0.746,0.178,0.219,Mammography,Male and Female
Essex,Hispanic/Latino,0.425,0.353,0.5,0.074,0.088,Mammography,Male and Female
,,,,,,,Mammography,
Gloucester,Asian/Pacific Islander,**,**,**,0.362,0.533,Mammography,Male and Female
Gloucester,Black/African American,0.733,0.612,0.828,0.109,0.209,Mammography,Male and Female
Gloucester,White,0.541,0.488,0.593,0.053,0.059,Mammography,Male and Female
Gloucester,Other,**,**,**,0.236,0.545,Mammography,Male and Female
Gloucester,Hispanic/Latino,**,**,**,0.242,0.322,Mammography,Male and Female
,,,,,,,Mammography,
Hudson,Asian/Pacific Islander,0.289,0.185,0.421,0.119,0.211,Mammography,Male and Female
Hudson,Black/African American,0.527,0.431,0.621,0.096,0.104,Mammography,Male and Female
Hudson,White,0.488,0.425,0.552,0.064,0.067,Mammography,Male and Female
Hudson,Other,**,**,**,0.135,0.384,Mammography,Male and Female
Hudson,Hispanic/Latino,0.568,0.506,0.627,0.061,0.072,Mammography,Male and Female
,,,,,,,Mammography,
Hunterdon,Asian/Pacific Islander,**,**,**,0.232,0.438,Mammography,Male and Female
Hunterdon,Black/African American,**,**,**,0.451,0.631,Mammography,Male and Female
Hunterdon,White,0.628,0.571,0.681,0.055,0.076,Mammography,Male and Female
Hunterdon,Other,**,**,**,0.444,0.493,Mammography,Male and Female
Hunterdon,Hispanic/Latino,**,**,**,0.234,0.243,Mammography,Male and Female
,,,,,,,Mammography,
Mercer,Asian/Pacific Islander,0.449,0.29,0.62,0.172,0.195,Mammography,Male and Female
Mercer,Black/African American,0.499,0.399,0.599,0.102,0.104,Mammography,Male and Female
Mercer,White,0.587,0.524,0.648,0.062,0.077,Mammography,Male and Female
Mercer,Other,**,**,**,0.281,0.295,Mammography,Male and Female
Mercer,Hispanic/Latino,0.351,0.248,0.47,0.113,0.164,Mammography,Male and Female
,,,,,,,Mammography,
Middlesex,Asian/Pacific Islander,0.272,0.192,0.369,0.089,0.167,Mammography,Male and Female
Middlesex,Black/African American,0.492,0.366,0.619,0.129,0.134,Mammography,Male and Female
Middlesex,White,0.614,0.562,0.664,0.051,0.068,Mammography,Male and Female
Middlesex,Other,**,**,**,0.192,0.447,Mammography,Male and Female
Middlesex,Hispanic/Latino,0.413,0.315,0.519,0.103,0.128,Mammography,Male and Female
,,,,,,,Mammography,
Monmouth,Asian/Pacific Islander,**,**,**,0.231,0.322,Mammography,Male and Female
Monmouth,Black/African American,0.676,0.51,0.807,0.153,0.241,Mammography,Male and Female
Monmouth,White,0.611,0.562,0.657,0.048,0.062,Mammography,Male and Female
Monmouth,Other,**,**,**,0.126,0.58,Mammography,Male and Female
Monmouth,Hispanic/Latino,0.451,0.299,0.612,0.162,0.183,Mammography,Male and Female
,,,,,,,Mammography,
Morris,Asian/Pacific Islander,**,**,**,0.186,0.194,Mammography,Male and Female
Morris,Black/African American,**,**,**,0.249,0.265,Mammography,Male and Female
Morris,White,0.615,0.566,0.663,0.049,0.065,Mammography,Male and Female
Morris,Other,**,**,**,0.216,0.65,Mammography,Male and Female
Morris,Hispanic/Latino,0.518,0.381,0.653,0.139,0.148,Mammography,Male and Female
,,,,,,,Mammography,
Ocean,Asian/Pacific Islander,**,**,**,0.402,0.869,Mammography,Male and Female
Ocean,Black/African American,**,**,**,0.365,0.399,Mammography,Male and Female
Ocean,White,0.609,0.566,0.65,0.042,0.055,Mammography,Male and Female
Ocean,Other,**,**,**,0.296,0.362,Mammography,Male and Female
Ocean,Hispanic/Latino,0.42,0.282,0.572,0.149,0.181,Mammography,Male and Female
,,,,,,,Mammography,
Passaic,Asian/Pacific Islander,**,**,**,0.297,0.346,Mammography,Male and Female
Passaic,Black/African American,0.583,0.447,0.707,0.132,0.162,Mammography,Male and Female
Passaic,White,0.56,0.496,0.622,0.063,0.074,Mammography,Male and Female
Passaic,Other,**,**,**,0.309,0.405,Mammography,Male and Female
Passaic,Hispanic/Latino,0.541,0.469,0.612,0.072,0.081,Mammography,Male and Female
,,,,,,,Mammography,
Salem,Asian/Pacific Islander,**,**,**,0,.,Mammography,Male and Female
Salem,Black/African American,0.526,0.39,0.658,0.138,0.148,Mammography,Male and Female
Salem,White,0.579,0.527,0.629,0.051,0.062,Mammography,Male and Female
Salem,Other,**,**,**,0.267,0.361,Mammography,Male and Female
Salem,Hispanic/Latino,**,**,**,0.202,0.322,Mammography,Male and Female
,,,,,,,Mammography,
Somerset,Asian/Pacific Islander,0.436,0.303,0.58,0.142,0.167,Mammography,Male and Female
Somerset,Black/African American,0.579,0.407,0.734,0.17,0.206,Mammography,Male and Female
Somerset,White,0.622,0.561,0.679,0.059,0.08,Mammography,Male and Female
Somerset,Other,**,**,**,0.18,0.501,Mammography,Male and Female
Somerset,Hispanic/Latino,0.398,0.269,0.543,0.141,0.18,Mammography,Male and Female
,,,,,,,Mammography,
Sussex,Asian/Pacific Islander,**,**,**,0.388,0.411,Mammography,Male and Female
Sussex,Black/African American,**,**,**,0.194,0.413,Mammography,Male and Female
