"","AREA","AGE_ADJUSTED_CI_LOWER","AGE_ADJUSTED_CI_UPPER","AGE_ADJUSTED_RATE","COUNT","EVENT_TYPE","POPULATION","RACE","SEX","SITE","YEAR","CRUDE_CI_LOWER","CRUDE_CI_UPPER","CRUDE_RATE"
"1","New Jersey",449.3,461.4,455.3,"22204","Incidence",4304271,"All Races","Female","All Cancer Sites Combined","1999",509.1,522.7,515.9
"2","New Jersey",175,182.4,178.7,"9121","Mortality",4304271,"All Races","Female","All Cancer Sites Combined","1999",207.6,216.3,211.9
"3","New Jersey",453,465.1,459,"22600","Incidence",4340112,"All Races","Female","All Cancer Sites Combined","2000",514,527.6,520.7
"4","New Jersey",174.4,181.8,178.1,"9204","Mortality",4340112,"All Races","Female","All Cancer Sites Combined","2000",207.8,216.4,212.1
"5","New Jersey",467.7,479.9,473.7,"23527","Incidence",4369932,"All Races","Female","All Cancer Sites Combined","2001",531.5,545.3,538.4
"6","New Jersey",173.6,180.9,177.2,"9236","Mortality",4369932,"All Races","Female","All Cancer Sites Combined","2001",207.1,215.7,211.4
"7","New Jersey",454.5,466.4,460.4,"23148","Incidence",4398801,"All Races","Female","All Cancer Sites Combined","2002",519.5,533.1,526.2
"8","New Jersey",169.5,176.6,173,"9105","Mortality",4398801,"All Races","Female","All Cancer Sites Combined","2002",202.8,211.3,207
"9","New Jersey",445.3,457.1,451.2,"22867","Incidence",4421964,"All Races","Female","All Cancer Sites Combined","2003",510.4,523.9,517.1
"10","New Jersey",168.2,175.3,171.7,"9147","Mortality",4421964,"All Races","Female","All Cancer Sites Combined","2003",202.6,211.1,206.9
"11","New Jersey",454.8,466.7,460.7,"23554","Incidence",4436964,"All Races","Female","All Cancer Sites Combined","2004",524.1,537.7,530.9
"12","New Jersey",161.3,168.3,164.8,"8843","Mortality",4436964,"All Races","Female","All Cancer Sites Combined","2004",195.2,203.5,199.3
"13","New Jersey",451.9,463.7,457.8,"23558","Incidence",4443545,"All Races","Female","All Cancer Sites Combined","2005",523.4,537,530.2
"14","New Jersey",157.6,164.4,161,"8719","Mortality",4443545,"All Races","Female","All Cancer Sites Combined","2005",192.1,200.4,196.2
"15","New Jersey",456.3,468.1,462.2,"23899","Incidence",4448099,"All Races","Female","All Cancer Sites Combined","2006",530.5,544.1,537.3
"16","New Jersey",159.1,166,162.5,"8851","Mortality",4448099,"All Races","Female","All Cancer Sites Combined","2006",194.9,203.2,199
"17","New Jersey",454.4,466.2,460.3,"24019","Incidence",4455148,"All Races","Female","All Cancer Sites Combined","2007",532.3,546,539.1
"18","New Jersey",154.1,160.9,157.5,"8687","Mortality",4455148,"All Races","Female","All Cancer Sites Combined","2007",190.9,199.1,195
"19","New Jersey",456.5,468.3,462.4,"24456","Incidence",4469901,"All Races","Female","All Cancer Sites Combined","2008",540.3,554,547.1
"20","New Jersey",152.1,158.8,155.4,"8667","Mortality",4469901,"All Races","Female","All Cancer Sites Combined","2008",189.8,198,193.9
