STATE,AREA,AGE_ADJUSTED_CI_LOWER,AGE_ADJUSTED_CI_UPPER,AGE_ADJUSTED_RATE,COUNT,EVENT_TYPE,POPULATION,RACE,SEX,SITE,YEAR,CRUDE_CI_LOWER,CRUDE_CI_UPPER,CRUDE_RATE,NAME
New Jersey,NJ: Atlantic County (34001),445.8,474.6,460,4267,Incidence,690987,All Races,Female,All Cancer Sites Combined,2014-2018,599.1,636.3,617.5,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),139.4,155.1,147.1,1450,Mortality,690987,All Races,Female,All Cancer Sites Combined,2014-2018,199.2,220.9,209.8,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),4.1,7.7,5.7,47,Incidence,690987,All Races,Female,Brain and Other Nervous System,2014-2018,5,9,6.8,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),2.4,5.1,3.5,34,Mortality,690987,All Races,Female,Brain and Other Nervous System,2014-2018,3.4,6.9,4.9,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),6.3,10.9,8.4,60,Incidence,690987,All Races,Female,Cervix,2014-2018,6.6,11.2,8.7,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),1.7,4.2,2.7,23,Mortality,690987,All Races,Female,Cervix,2014-2018,2.1,5,3.3,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),32.3,40.2,36.1,351,Incidence,690987,All Races,Female,Colon and Rectum,2014-2018,45.6,56.4,50.8,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),8.7,12.9,10.6,110,Mortality,690987,All Races,Female,Colon and Rectum,2014-2018,13.1,19.2,15.9,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),28.2,35.7,31.7,305,Incidence,690987,All Races,Female,"Corpus and Uterus, NOS",2014-2018,39.3,49.4,44.1,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),4.4,7.6,5.8,58,Mortality,690987,All Races,Female,"Corpus and Uterus, NOS",2014-2018,6.4,10.9,8.4,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),~,~,~,~,Incidence,690987,All Races,Female,Esophagus,2014-2018,~,~,~,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),~,~,~,~,Mortality,690987,All Races,Female,Esophagus,2014-2018,~,~,~,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),122,137.5,129.6,1192,Incidence,690987,All Races,Female,Female Breast,2014-2018,162.9,182.6,172.5,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),19.6,26,22.6,218,Mortality,690987,All Races,Female,Female Breast,2014-2018,27.5,36,31.5,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),33.8,42.5,38,336,Incidence,690987,All Races,Female,"Female Breast, <i>in situ</i>",2014-2018,43.6,54.1,48.6,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),~,~,~,~,Incidence,690987,All Races,Female,Hodgkin Lymphoma,2014-2018,~,~,~,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),~,~,~,~,Mortality,690987,All Races,Female,Hodgkin Lymphoma,2014-2018,~,~,~,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),~,~,~,~,Incidence,690987,All Races,Female,Kaposi Sarcoma,2014-2018,~,~,~,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),.,.,.,.,Mortality,690987,All Races,Female,Kaposi Sarcoma,2014-2018,.,.,.,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),9.6,14.4,11.8,111,Incidence,690987,All Races,Female,Kidney and Renal Pelvis,2014-2018,13.2,19.3,16.1,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),1.3,3.5,2.2,21,Mortality,690987,All Races,Female,Kidney and Renal Pelvis,2014-2018,1.9,4.6,3,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),~,~,~,~,Incidence,690987,All Races,Female,Larynx,2014-2018,~,~,~,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),~,~,~,~,Mortality,690987,All Races,Female,Larynx,2014-2018,~,~,~,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),7.8,12.1,9.8,92,Incidence,690987,All Races,Female,Leukemias,2014-2018,10.7,16.3,13.3,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),4,7.2,5.4,54,Mortality,690987,All Races,Female,Leukemias,2014-2018,5.9,10.2,7.8,Atlantic County (34001)
