county,NAME,County_ID,Obese,Current Smoker,Binge Drinking,Mammography,Pap Smear,Colorectal,PSA Test,Breast Cancer,Prostate Cancer,Lung Cancer,Colorectal Cancer,Bladder Cancer,Uterine Cancer,Thyroid Cancer,Kidney Cancer,Melanoma,Leukemia,Pancreatic Cancer,Liver Cancer,NH Lymphoma,Overall Cancer Incidence,Overall Cancer Mortality,Esophageal Cancer
ATLANTIC,Atlantic,34001,27.7,19.7,17.1,83.9,81.5,66.7,22.8,133,114.7,67.1,40.4,26.8,33.7,16,18.2,24.8,13.7,14.2,9.1,23.1,495.8,166.5,4.5
BERGEN,Bergen,34003,20.8,10.3,16.5,81.4,85.3,64.5,26.1,135.9,126.9,49.8,39,22.6,29.3,19.8,16.4,17.8,15.6,14.1,7.1,23.1,472.4,136.6,3.3
BURLINGTON,Burlington,34005,27.8,14,17.5,79.4,80,71,22,143,143.1,61.9,44.7,26.5,34,21.5,20.4,26,16.3,15.9,7.7,21.1,527.8,164.4,4.6
CAMDEN,Camden,34007,33.3,19.5,17.2,77.9,87.4,68.4,28.3,137.9,140.3,68.9,43.7,25,34.5,22.1,19.6,20.3,15.3,15.1,9.4,20.6,524.6,172,5.1
CAPEMAY,Cape May,34009,28.9,19.9,18.2,81.8,80.2,64.5,19.8,128.6,158.3,81.4,46.5,30.9,32.8,16,17.7,46.5,16.5,14.7,9.9,18.3,564.6,185.7,6.4
CUMBERLAND,Cumberland,34011,35.6,23.7,16,79,84.3,60.5,21.1,119.7,124.6,68.1,46.3,25,37.7,16.4,21.8,17.6,16.1,13.4,10.5,22,512,188.3,5.4
ESSEX,Essex,34013,29.4,11.9,15.7,82.2,83.6,67.6,28.6,134.7,152.1,47.5,42.1,18.4,32.9,13.2,12.7,12.3,14.2,14.2,7.9,18.4,462.1,150.5,3.9
GLOUCESTER,Gloucester,34015,31.9,21.8,21.6,78.9,89.8,66.3,29.6,145.9,135.9,75.5,44.8,27.1,32.2,23.7,19.3,27.3,17.4,14.7,8.6,22.1,541.6,178.1,6.4
HUDSON,Hudson,34017,26.7,17.4,17.1,76.8,79.8,64.9,23.3,104.4,107.3,43.6,40.3,17.6,25.2,14.7,11.8,7.7,11.5,14,8.7,17.1,403.5,133.7,3.3
HUNTERDON,Hunterdon,34019,19.5,19.3,17.6,80.8,80,72.6,28.4,146.7,103.2,51.8,37.7,25.9,33.1,16.4,13.3,38.9,14.7,15.4,5.4,20.6,475.1,138.1,4.9
MERCER,Mercer,34021,26.5,15,16.2,81.7,82,71.8,21.7,141.1,147.3,57,37.3,20.7,34.4,25.4,17.1,22.3,16.6,16.1,8.4,22.6,503.9,152.3,4.4
MIDDLESEX,Middlesex,34023,28.6,11.9,15.1,74.8,72.7,60.8,26.2,126.8,122.9,50.7,39.6,22.8,31.2,19.1,15.1,17.9,15.4,12.9,7.9,22.1,460.8,142.4,3.6
MONMOUTH,Monmouth,34025,22.7,11.8,20.8,79,86.8,69.5,20.5,144.6,137.3,60.2,40.9,25.5,29.6,25.9,16.7,31.6,17.4,14.5,7.6,24.3,523.2,144.7,4.3
MORRIS,Morris,34027,19,11.7,18.5,80.7,85.6,68.5,22.7,148.9,129.8,47.9,37.1,24.2,33.2,20.1,15.1,26.4,16.8,14,6.5,23.7,487.9,139.2,4.7
OCEAN,Ocean,34029,31.3,16,17.3,79.3,82.9,67.4,21,129.7,114.8,70.1,43.7,23.9,31.5,23.4,17.7,34.3,16.9,15.7,8.3,22.5,521.2,165.8,5.9
PASSAIC,Passaic,34031,29.4,11.8,18.5,82.2,84.5,62.2,23,122.3,137.5,47.6,39.5,22.2,27.9,17,16.1,13.9,15.6,13.5,8.2,20.4,451.6,147.1,4.7
SALEM,Salem,34033,38.2,19,20.3,76.5,81.6,65.9,27.7,132.5,136.9,82,48.4,26.5,36.8,18.6,18,36.8,13.7,15.9,8.3,20.8,554.1,200.9,4.7
SOMERSET,Somerset,34035,21.2,10,15.3,82.9,83.6,69.2,20.4,142.8,121,46.2,35.2,20.1,31.8,21.8,14.2,24.5,15.4,12.8,6,23.7,463.3,135.7,3.2
SUSSEX,Sussex,34037,25.3,16.4,21,75.7,86.5,68,20.5,136.5,116.8,63.2,42.1,25.9,34.7,18.4,15.6,29,19.4,13.5,6.7,23.5,510.3,164.7,6.1
UNION,Union,34039,25.9,12.2,16.3,79.5,82.7,62.3,21.3,135.4,129.5,45.6,39.1,20.4,31.5,17,14.4,15.3,15.7,13.4,6.3,21.1,453.7,142.9,3.7
WARREN,Warren,34041,26.4,12.9,18.4,75.2,84.2,58.3,19.8,125.3,110.3,63.8,42.8,27.2,40,16.8,16.3,24.3,16,17.1,6.7,24.9,506.4,164.5,8.4
NEW JERSEY,New Jersey,N/A,26.8,14.1,17.3,79.6,82.8,66.3,23.9,134.2,129.6,56.1,40.8,23.1,31.6,19.4,16.1,21.9,15.6,14.4,7.8,21.8,485.9,151.4,4.4
