State,EPA Region,County,FIPS,Tract,Population,"1,3-Butadiene",Acetaldehyde,Aniline,Benzene,Ethylene Oxide,Formaldehyde,Naphthalene
NJ,EPA Region 2,Atlantic,34001,34001000100,2417,0.45,1.54,0,2.27,0.5,12.1,0.56
NJ,EPA Region 2,Atlantic,34001,34001000200,3202,0.43,1.53,0,2.16,0.48,12.06,0.54
NJ,EPA Region 2,Atlantic,34001,34001000300,4373,0.43,1.45,0,2.62,0.6,11.41,0.58
NJ,EPA Region 2,Atlantic,34001,34001000400,2606,0.42,1.4,0,2.81,0.65,11.03,0.59
NJ,EPA Region 2,Atlantic,34001,34001000500,3503,0.45,1.33,0,3.43,0.77,10.48,0.66
NJ,EPA Region 2,Atlantic,34001,34001001100,2027,0.44,1.45,0,2.6,0.51,11.51,0.61
NJ,EPA Region 2,Atlantic,34001,34001001200,3174,0.45,1.48,0,2.65,0.53,11.43,0.62
NJ,EPA Region 2,Atlantic,34001,34001001300,1984,0.47,1.69,0,2.38,0.53,13.08,0.59
NJ,EPA Region 2,Atlantic,34001,34001001400,3623,0.46,1.47,0,2.6,0.49,11.52,0.61
NJ,EPA Region 2,Atlantic,34001,34001001500,1438,0.43,1.46,0,2.45,0.47,11.51,0.58
NJ,EPA Region 2,Atlantic,34001,34001001900,1568,0.41,1.45,0,2.31,0.44,11.37,0.55
NJ,EPA Region 2,Atlantic,34001,34001002300,2861,0.45,1.33,0,3.43,0.76,10.51,0.67
NJ,EPA Region 2,Atlantic,34001,34001002400,2752,0.43,1.38,0,2.95,0.58,11.04,0.62
NJ,EPA Region 2,Atlantic,34001,34001002500,4030,0.43,1.46,0,2.45,0.46,11.43,0.58
NJ,EPA Region 2,Atlantic,34001,34001010101,3497,0.45,1.45,0,2.44,0.53,11.33,0.55
NJ,EPA Region 2,Atlantic,34001,34001010102,1702,0.45,1.46,0,2.46,0.51,11.34,0.56
NJ,EPA Region 2,Atlantic,34001,34001010104,1491,0.46,1.46,0,2.41,0.49,11.36,0.56
NJ,EPA Region 2,Atlantic,34001,34001010105,2760,0.47,1.46,0,2.59,0.49,11.42,0.59
NJ,EPA Region 2,Atlantic,34001,34001010200,5890,0.63,1.76,0,2.75,0.55,13.63,0.7
NJ,EPA Region 2,Atlantic,34001,34001010300,2521,0.64,1.76,0,2.85,0.55,13.63,0.72
NJ,EPA Region 2,Atlantic,34001,34001010401,5536,0.73,2.11,0,2.61,0.63,15.47,0.79
NJ,EPA Region 2,Atlantic,34001,34001010403,6992,0.93,1.88,0,2.91,0.54,14.8,0.94
NJ,EPA Region 2,Atlantic,34001,34001010501,7299,0.5,1.86,0,2.45,0.64,13.65,0.63
NJ,EPA Region 2,Atlantic,34001,34001010503,7718,0.55,1.8,0,2.45,0.56,13.61,0.64
NJ,EPA Region 2,Atlantic,34001,34001010505,3044,0.57,1.74,0,2.53,0.54,13.51,0.64
NJ,EPA Region 2,Atlantic,34001,34001010506,5458,0.68,1.76,0,2.71,0.55,13.74,0.73
NJ,EPA Region 2,Atlantic,34001,34001010600,4243,0.63,2.24,0,2.71,0.68,15.7,0.78
NJ,EPA Region 2,Atlantic,34001,34001010700,6147,0.56,2.23,0,2.54,0.68,15.66,0.83
NJ,EPA Region 2,Atlantic,34001,34001010800,3106,0.73,2.27,0,2.99,0.36,16.66,1.33
NJ,EPA Region 2,Atlantic,34001,34001010900,5876,0.63,2.23,0,2.93,0.87,15.85,1.03
NJ,EPA Region 2,Atlantic,34001,34001011000,2666,0.66,2.23,0,2.92,0.54,16.13,1.13
NJ,EPA Region 2,Atlantic,34001,34001011100,3139,0.7,2.24,0,2.85,0.22,16.63,1.32
NJ,EPA Region 2,Atlantic,34001,34001011201,1885,0.72,2.24,0,2.88,0.21,16.66,1.32
NJ,EPA Region 2,Atlantic,34001,34001011202,7570,0.64,2.12,0,2.75,0.38,15.78,1.08
NJ,EPA Region 2,Atlantic,34001,34001011300,4603,0.63,2.05,0,2.83,0.55,15.33,0.98
NJ,EPA Region 2,Atlantic,34001,34001011401,4759,0.62,2.06,0,2.65,0.65,15.04,0.74
NJ,EPA Region 2,Atlantic,34001,34001011403,5793,0.77,2.06,0,2.86,0.6,15.52,0.82
NJ,EPA Region 2,Atlantic,34001,34001011404,9359,0.7,2.02,0,2.63,0.59,15.15,0.73
NJ,EPA Region 2,Atlantic,34001,34001011500,6592,0.53,2.06,0,2.48,0.59,14.9,0.72
NJ,EPA Region 2,Atlantic,34001,34001011600,4942,0.54,2,0,2.41,0.62,14.58,0.68
NJ,EPA Region 2,Atlantic,34001,34001011701,9371,0.77,2,0,2.84,0.61,15.27,0.82
NJ,EPA Region 2,Atlantic,34001,34001011702,3236,0.74,1.84,0,3.09,0.57,14.2,0.83
NJ,EPA Region 2,Atlantic,34001,34001011802,15765,0.62,1.89,0,2.59,0.65,14.47,0.71
NJ,EPA Region 2,Atlantic,34001,34001011803,4688,0.56,1.63,0,2.75,0.48,12.73,0.68
NJ,EPA Region 2,Atlantic,34001,34001011804,7189,0.57,1.85,0,2.48,0.54,14.16,0.67
NJ,EPA Region 2,Atlantic,34001,34001011805,2283,0.57,1.84,0,2.4,0.51,14.12,0.64
NJ,EPA Region 2,Atlantic,34001,34001011900,8031,0.6,1.76,0,2.94,0.55,13.63,0.74
