State,EPA Region,County,FIPS,Tract,Population,"1,3-Butadiene",Acetaldehyde,Aniline,Benzene,Ethylene Oxide,Formaldehyde,Naphthalene
NY,EPA Region 2,Bronx,36005,36005000000,1385108,3.236015366,2.635109334,0,7.200695837,0.511202817,20.40202961,2.786816673
NY,EPA Region 2,Bronx,36005,36005000100,11091,3.103047884,2.593624667,0,6.015644208,0.267014747,20.16907415,2.35165851
NY,EPA Region 2,Bronx,36005,36005000200,4334,3.559634755,2.691282497,0,7.260471709,0.328068804,20.89076964,2.705500256
NY,EPA Region 2,Bronx,36005,36005000400,5503,3.571213804,2.692809854,0,7.303841034,0.327701172,20.83737526,2.699841418
NY,EPA Region 2,Bronx,36005,36005001600,5643,3.415064366,2.660059297,0,7.40236843,0.459358416,20.71064846,2.767143171
NY,EPA Region 2,Bronx,36005,36005001900,1917,4.056188971,2.810094397,0,8.098053463,0.332393189,22.0493996,3.094755405
NY,EPA Region 2,Bronx,36005,36005002000,8731,3.552756418,2.704592444,0,7.316913424,0.323434644,21.00788599,2.775643602
NY,EPA Region 2,Bronx,36005,36005002300,4933,3.754865186,2.800312408,0,7.900644347,0.32446062,21.90776429,3.096579434
NY,EPA Region 2,Bronx,36005,36005002400,4,2.515049249,2.46171522,0,5.127735356,0.227383875,18.51249892,1.957615768
NY,EPA Region 2,Bronx,36005,36005002500,5491,3.665779271,2.773787894,0,7.751351328,0.330018025,21.8148034,2.979399347
NY,EPA Region 2,Bronx,36005,36005002701,3113,3.903584202,2.796456559,0,8.056333869,0.325882827,21.92021285,3.050131575
NY,EPA Region 2,Bronx,36005,36005002702,4475,3.605043444,2.739345772,0,7.60331725,0.328977646,21.53710287,2.888567668
NY,EPA Region 2,Bronx,36005,36005002800,5586,3.504945269,2.7147068,0,7.369349714,0.317139807,21.07658955,2.844309225
NY,EPA Region 2,Bronx,36005,36005003100,1597,3.51521732,2.711708458,0,7.404741219,0.319507912,21.25846878,2.780515798
NY,EPA Region 2,Bronx,36005,36005003300,3413,3.528957176,2.719977696,0,7.414966381,0.322563645,21.33617134,2.819025979
NY,EPA Region 2,Bronx,36005,36005003500,3761,3.630926962,2.736448225,0,7.619335012,0.32326935,21.41951906,2.866914833
NY,EPA Region 2,Bronx,36005,36005003700,245,3.647373231,2.743370516,0,7.643368703,0.320006817,21.47177596,2.891721601
NY,EPA Region 2,Bronx,36005,36005003800,1264,3.400157478,2.683124849,0,7.097847036,0.301165289,20.66091981,2.754600575
NY,EPA Region 2,Bronx,36005,36005003900,6475,3.584450898,2.762144951,0,7.614648824,0.324093225,21.73243029,2.963984009
NY,EPA Region 2,Bronx,36005,36005004001,1420,3.267057506,2.631538482,0,7.251093286,0.493681049,20.47143733,2.79001822
NY,EPA Region 2,Bronx,36005,36005004100,6127,3.626670126,2.764997613,0,7.665436426,0.323884776,21.72979015,2.976153682
NY,EPA Region 2,Bronx,36005,36005004200,7143,3.397000689,2.655996753,0,7.529022478,0.526313669,20.79237687,2.826230723
NY,EPA Region 2,Bronx,36005,36005004300,5056,3.543021205,2.74458661,0,7.532252848,0.315983282,21.52268,2.892219878
NY,EPA Region 2,Bronx,36005,36005004400,4797,3.476845042,2.677460779,0,7.679612984,0.50872356,20.87845449,2.930939615
NY,EPA Region 2,Bronx,36005,36005004600,1555,3.818117003,2.720932213,0,7.888383693,0.460050914,21.21681849,2.956859545
NY,EPA Region 2,Bronx,36005,36005004800,3883,3.437482824,2.663847607,0,7.585909026,0.5087553,20.81363434,2.895071298
