,OBJECTID,PLANT_CODE,PLANT_NAME, ,SITE_ID,AIR_PI,CITY,COUNTY,STATENAME,STREET_ADD,PRIMSOURCE,INSTALL_MW,TOTAL_MW,SOURCE_DES,TECHNICAL,SOURCE,PERIOD,LATITUDE,LONGITUDE,EDC,GRIDSUPPLY,DMR_LINK,GLOBALID,geometry,
1,1,2378,B L England,RC Cape May Holdings LLC,267113,73242,Beesley's Point,Cape May,New Jersey,900 North Shore Road,Petroleum,339.6,298,"Coal = 150 MW, Petroleum = 148 MW",Conventional Steam Coal; Petroleum Liquids;,"EIA-860, EIA-860M and EIA-923",201810,39.29069,-74.6345,Atlantic City Electric,Y,https://www13.state.nj.us/DataMiner/SearchSite.aspx?PV=267113,{83B0792B-28BB-43B0-9E8D-08597DC9E33B},c(-8308274.70983655, 4763397.51431717)
2,2,2379,Carlls Corner,Calpine New Jersey Generation LLC,15812,75512,Upper Deerfield Twp,Cumberland,New Jersey,Burlington Road,Natural Gas,83.8,79,Natural Gas = 78.6 MW,Natural Gas Fired Combustion Turbine,"EIA-860, EIA-860M and EIA-923",201810,39.4547,-75.2014,Atlantic City Electric,Y,https://www13.state.nj.us/DataMiner/SearchSite.aspx?PV=15812,{99ED577E-A797-4C67-8D2F-957B9009147F},c(-8371381.75014494, 4787015.46804191)
3,3,2390,Sayreville,NRG REMA LLC,15778,17884,Sayerville,Middlesex,New Jersey,River Road,Natural Gas,212,200,Natural Gas = 200 MW,Natural Gas Fired Combustion Turbine,"EIA-860, EIA-860M and EIA-923",201810,40.47653,-74.35234,Jersey Central Power & Light,Y,https://www13.state.nj.us/DataMiner/SearchSite.aspx?PV=15778,{F4F2FA0B-C28B-4168-A8BD-2843AF70AC9E},c(-8276864.8001005, 4935435.08997856)
4,4,2393,Gilbert,NRG REMA LLC,15852,80002,Milford,Hunterdon,New Jersey,"315 Riegelsville Rd., Rte. 627",Natural Gas,512,444,Natural Gas = 444 MW,Natural Gas Fired Combined Cycle; Natural Gas Fired Combustion Turbine;,"EIA-860, EIA-860M and EIA-923",201810,40.56583,-75.16389,Jersey Central Power & Light,Y,https://www13.state.nj.us/DataMiner/SearchSite.aspx?PV=15852,{28C87D01-DB01-47BA-A6B5-3F7AC9234485},c(-8367206.16216865, 4948512.27979684)
5,5,2398,Bergen Generating Station,PSEG Fossil LLC,38281,2488,Ridgefield,Bergen,New Jersey,Victoria Terrace,Natural Gas,1400.8,1229,Natural Gas = 1229 MW,Natural Gas Fired Combined Cycle,"EIA-860, EIA-860M and EIA-923",201810,40.83964,-74.02465,Public Service Electric & Gas Co.,Y,https://www13.state.nj.us/DataMiner/SearchSite.aspx?PV=38281,{85CB0461-1A40-4457-B634-2BD52D3A8FF5},c(-8240386.50693105, 4988718.51506551)
6,6,2399,PSEG Burlington Generating Station,PSEG Fossil LLC,11015,45979,Burlington,Burlington,New Jersey,West Broad & Devlin Avenues,Natural Gas,242,168,Natural Gas = 168 MW,Natural Gas Fired Combustion Turbine,"EIA-860, EIA-860M and EIA-923",201810,40.07661,-74.87917,Public Service Electric & Gas Co.,Y,https://www13.state.nj.us/DataMiner/SearchSite.aspx?PV=11015,{51561EF1-CB4D-42D6-A556-7BF0783B9776},c(-8335511.26339495, 4877082.46758977)
7,7,2401,PSEG Essex Generating Station,PSEG Fossil LLC,14241,7627,Newark,Essex,New Jersey,155 Raymond Boulevard,Natural Gas,93.6,81,Natural Gas = 81 MW,Natural Gas Fired Combustion Turbine,"EIA-860, EIA-860M and EIA-923",201810,40.7372,-74.12059,Public Service Electric & Gas Co.,Y,https://www13.state.nj.us/DataMiner/SearchSite.aspx?PV=14241,{E6FF517B-3F6E-4423-A119-FF46DB040AA5},c(-8251066.50155284, 4973656.87433764)
8,8,2404,PSEG Kearny Generating Station,PSEG Fossil LLC,15972,12200,Kearny,Hudson,New Jersey,Hackensack Avenue,Natural Gas,605,459,Natural Gas = 459.4 MW,Natural Gas Fired Combustion Turbine,"EIA-860, EIA-860M and EIA-923",201810,40.73728,-74.09646,Public Service Electric & Gas Co.,Y,https://www13.state.nj.us/DataMiner/SearchSite.aspx?PV=15972,{5FCE04DC-3BFC-4821-9C64-E6CBB378A9D9},c(-8248380.36136049, 4973668.62766598)
9,9,2406,PSEG Linden Generating Station,PSEG Fossil LLC,927,41810,Linden,Union,New Jersey,Wood Avenue South,Natural Gas,1740,1566,Natural Gas = 1566.2 MW,Natural Gas Fired Combined Cycle; Natural Gas Fired Combustion Turbine;,"EIA-860, EIA-860M and EIA-923",201810,40.62169,-74.2072,Public Service Electric & Gas Co.,Y,https://www13.state.nj.us/DataMiner/SearchSite.aspx?PV=927,{738ADC61-C244-4BDA-9374-E316A2FBF86C},c(-8260707.88494768, 4956701.35879233)
10,10,2410,PSEG Salem Generating Station,PSEG Nuclear LLC,15647,65500,Hancocks Bridge,Salem,New Jersey,P O Box 236 End of Buttonwood,Nuclear,2381.8,2367,"Nuclear = 2328.2 MW, Petroleum = 38.4 MW",Nuclear; Petroleum Liquids;,"EIA-860, EIA-860M and EIA-923",201810,39.46249,-75.53579,Public Service Electric & Gas Co.,Y,https://www13.state.nj.us/DataMiner/SearchSite.aspx?PV=15647,{40FD1DC3-AFC0-4173-A648-52814DCC8AC2},c(-8408605.88634548, 4788138.63309862)
